vehicle_type,vehicle_instance,route_id,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,after_hours_return_flag
ev_1250,1,1,194,11:14,650.9,18:51,552.814479,0
ev_1250,2,2,647,18:47,795.1,21:15,476.67185,1
ev_1250,3,3,630,18:30,804.6,21:25,495.67368,1
ev_1250,4,4,300,13:00,646.0,18:46,551.849174,0
ev_1250,5,5,103,09:43,353.6,13:54,497.879508,0
ev_1250,6,6,462,15:42,668.3,19:08,472.578802,0
ev_1250,7,7,462,15:42,668.3,19:08,472.578177,0
ev_1250,8,8,462,15:42,668.3,19:08,472.577601,0
ev_1250,9,9,382,14:22,705.4,19:45,539.37169,0
ev_1250,10,10,127,10:07,358.0,13:58,489.152301,0
ev_1250,11,11,466,15:46,664.7,19:05,468.025075,0
ev_1250,12,12,667,19:07,864.9,22:25,516.621638,1
ev_1250,13,13,515,16:35,911.7,23:12,667.790325,1
ev_1250,14,14,289,12:49,507.2,16:27,513.543556,0
ev_1250,15,15,289,12:49,507.2,16:27,513.540153,0
ev_3000,1,16,465,15:45,847.3,22:07,627.70221,1
ev_3000,2,17,0,08:00,364.8,14:05,555.331338,0
ev_3000,3,18,385,14:25,801.6,21:22,568.320512,1
ev_3000,4,19,94,09:34,353.7,13:54,493.441767,0
ev_3000,5,20,68,09:08,467.5,15:48,596.373879,0
ev_3000,6,21,422,15:02,788.5,21:08,545.100293,1
ev_3000,7,22,314,13:14,728.5,20:08,591.729946,0
ev_3000,8,23,314,13:14,728.5,20:08,593.077529,0
ev_3000,9,24,371,14:11,728.6,20:09,556.858129,0
ev_3000,10,25,52,08:52,434.8,15:15,587.965398,0
fuel_1500,1,26,682,19:22,792.4,21:12,596.866758,1
fuel_1500,2,27,115,09:55,349.8,13:50,724.500847,0
fuel_1500,3,28,460,15:40,668.7,19:09,665.449351,0
fuel_1500,4,29,396,14:36,728.7,20:09,910.803981,0
fuel_1500,5,30,103,09:43,362.0,14:02,783.50325,0
fuel_1500,6,31,60,09:00,184.6,11:05,607.700737,0
fuel_1500,7,32,445,15:25,680.0,19:20,722.19988,0
fuel_1500,8,33,115,09:55,354.2,13:54,743.122172,0
fuel_1500,9,34,339,13:39,378.7,14:19,447.743033,0
fuel_1500,10,35,106,09:46,365.8,14:06,812.964509,0
fuel_1500,11,36,146,10:26,334.8,13:35,636.058159,0
fuel_1500,12,37,300,13:00,474.6,15:55,751.236099,0
fuel_1500,13,38,300,13:00,474.6,15:55,751.258425,0
fuel_1500,14,39,300,13:00,474.6,15:55,751.257477,0
fuel_1500,15,40,475,15:55,659.7,19:00,617.970222,0
fuel_1500,16,41,475,15:55,659.7,19:00,619.309447,0
fuel_1500,17,42,475,15:55,659.7,19:00,617.983973,0
fuel_1500,18,43,475,15:55,659.7,19:00,618.380269,0
fuel_1500,19,44,486,16:06,795.1,21:15,752.035718,1
fuel_1500,20,45,398,14:38,573.3,17:33,643.692768,0
fuel_1500,21,46,398,14:38,573.3,17:33,643.731092,0
fuel_1500,22,47,300,13:00,356.3,13:56,494.003394,0
fuel_1500,23,48,300,13:00,356.3,13:56,493.975915,0
fuel_1500,24,49,300,13:00,356.3,13:56,493.902877,0
fuel_1500,25,50,482,16:02,667.0,19:07,625.419278,0
fuel_1500,26,51,482,16:02,667.0,19:07,619.112195,0
fuel_1500,27,52,482,16:02,667.0,19:07,625.343348,0
fuel_1500,28,53,362,14:02,710.4,19:50,955.607302,0
fuel_1500,29,54,627,18:27,694.4,19:34,516.652947,0
fuel_1500,30,55,444,15:24,699.5,19:40,781.20864,0
fuel_1500,31,56,300,13:00,536.5,16:56,855.606462,0
fuel_1500,32,57,366,14:06,469.1,15:49,566.286834,0
fuel_1500,33,58,366,14:06,469.1,15:49,569.175864,0
fuel_1500,34,59,366,14:06,469.1,15:49,566.279467,0
fuel_1500,35,60,366,14:06,469.1,15:49,566.249755,0
fuel_1500,36,61,366,14:06,469.1,15:49,570.261031,0
fuel_1500,37,62,115,09:55,194.5,11:14,505.241894,0
fuel_1500,38,63,205,11:25,426.8,15:07,727.191064,0
fuel_1500,39,64,466,15:46,664.7,19:05,651.756301,0
fuel_1500,40,65,467,15:47,665.1,19:05,645.317848,0
fuel_1500,41,66,467,15:47,665.1,19:05,644.843545,0
fuel_1500,42,67,467,15:47,665.1,19:05,645.972921,0
fuel_1500,43,68,652,18:52,801.4,21:21,687.48747,1
fuel_1500,44,69,652,18:52,801.4,21:21,687.566489,1
fuel_1500,45,70,652,18:52,801.4,21:21,687.580572,1
fuel_1500,46,71,292,12:52,484.7,16:05,772.327482,0
fuel_1500,47,72,292,12:52,484.7,16:05,772.456522,0
fuel_3000,1,73,358,13:58,829.2,21:49,929.343459,1
fuel_3000,2,74,107,09:47,306.7,13:07,611.57437,0
fuel_3000,3,75,377,14:17,713.0,19:53,828.636086,0
fuel_3000,4,76,483,16:03,654.3,18:54,591.501207,0
fuel_3000,5,77,123,10:03,787.0,21:07,994.49132,1
fuel_3000,6,78,0,08:00,369.6,14:10,986.020385,0
fuel_3000,7,79,463,15:43,686.4,19:26,709.701507,0
fuel_3000,8,80,245,12:05,438.4,15:18,716.434814,0
fuel_3000,9,81,638,18:38,693.9,19:34,491.881253,0
fuel_3000,10,82,314,13:14,486.4,16:06,733.649461,0
fuel_3000,11,83,68,09:08,308.2,13:08,684.398566,0
fuel_3000,12,84,665,19:05,810.0,21:30,685.781197,1
fuel_3000,13,85,405,14:45,680.2,19:20,769.026308,0
fuel_3000,14,86,630,18:30,751.4,20:31,630.829847,0
fuel_3000,15,87,164,10:44,512.6,16:33,796.683947,0
fuel_3000,16,88,300,13:00,544.7,17:05,796.485757,0
fuel_3000,17,89,146,10:26,334.8,13:35,635.750569,0
fuel_3000,18,90,300,13:00,474.6,15:55,750.573574,0
fuel_3000,19,91,154,10:34,323.4,13:23,590.537889,0
fuel_3000,20,92,154,10:34,323.4,13:23,592.474598,0
fuel_3000,21,93,154,10:34,323.4,13:23,592.506454,0
fuel_3000,22,94,154,10:34,323.4,13:23,592.514311,0
fuel_3000,23,95,648,18:48,856.5,22:16,792.967218,1
fuel_3000,24,96,646,18:46,864.1,22:24,819.200621,1
fuel_3000,25,97,451,15:31,674.8,19:15,703.901628,0
fuel_3000,26,98,451,15:31,674.8,19:15,703.901628,0
fuel_3000,27,99,414,14:54,699.0,19:39,800.137528,0
fuel_3000,28,100,104,09:44,649.9,18:50,895.82063,0
fuel_3000,29,101,398,14:38,573.3,17:33,641.080044,0
fuel_3000,30,102,114,09:54,469.6,15:50,865.055903,0
fuel_3000,31,103,96,09:36,370.6,14:11,788.48279,0
fuel_3000,32,104,479,15:59,656.4,18:56,608.170259,0
fuel_3000,33,105,479,15:59,656.4,18:56,608.200366,0
fuel_3000,34,106,479,15:59,656.4,18:56,603.649287,0
fuel_3000,35,107,650,18:50,837.4,21:57,797.494791,1
fuel_3000,36,108,650,18:50,837.4,21:57,797.49657,1
fuel_3000,37,109,627,18:27,694.4,19:34,516.616718,0
fuel_3000,38,110,627,18:27,783.2,21:03,621.105615,1
fuel_3000,39,111,444,15:24,699.5,19:40,781.248963,0
fuel_3000,40,112,444,15:24,699.5,19:40,781.267761,0
